,player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
47,74,Swapnil Singh,Right hand Bat,Slow Left arm Orthodox,Not Specifed,Swapnil Singh,Swapnil Singh,https://www.espncricinfo.com/cricketers/swapnil-singh-232292
48,760,MJ Guptill,Right hand Bat,Right arm Offbreak,Not Specifed,Martin James Guptill,Martin James,Not Available
49,182,CH Morris,Right hand Bat,Right arm Fast medium,Not Specifed,Christopher Henry Morris,Christopher Henry,Not Available
50,361,LH Ferguson,Right hand Bat,Right arm Fast,Not Specifed,Lachlan Hammond Ferguson,Lachlan Hammond,Not Available
51,1285,HV Patel,Right hand Bat,Right arm Medium,Not Specifed,Harshal Vikram Patel,Harshal Vikram,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png
52,1449,S Gopal,Right hand Bat,Legbreak,Not Specifed,Shreyas Gopal,Shreyas Gopal,https://www.espncricinfo.com/cricketers/shreyas-gopal-344580
53,405,KC Cariappa,Right hand Bat,Legbreak,Not Specifed,Konganda Charamanna Cariappa,Konganda Charamanna,Not Available
54,196,Basil Thampi,Right hand Bat,Right arm Fast medium,Not Specifed,Basil Thampi,Basil Thampi,Not Available
55,744,AR Bawne,Right hand Bat,Right arm Offbreak,Not Specifed,Ankit Ramdas Bawne,Ankit Ramdas,Not Available
56,676,KV Sharma,Left hand Bat,Legbreak Googly,Not Specifed,Karn Vinod Sharma,Karn Vinod,Not Available
57,171,Vishnu Vinod,Right hand Bat, ,Wicketkeeper,Vishnu Vinod,Vishnu Vinod,https://www.espncricinfo.com/cricketers/vishnu-vinod-732293
58,332,V Kohli,Right hand Bat,Right arm Medium,Not Specifed,Virat Kohli,Virat Kohli,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Virat%20Kohli.png
59,28,KH Pandya,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Krunal Himanshu Pandya,Krunal Himanshu,Not Available
60,448,AF Milne,Right hand Bat,Right arm Fast,Not Specifed,Adam Fraser Milne,Adam Fraser,Not Available
61,20,B Kumar,Right hand Bat,Right arm Medium,Not Specifed,Bhuvneshwar Kumar Singh,Bhuvneshwar Kumar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Bhuvneshwar%20Kumar.png
62,347,Ishan Kishan,Left hand Bat, ,Wicketkeeper,Ishan Pranav Kumar Pandey Kishan,Ishan Pranav,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ishan%20Kishan.png
63,65,SP Narine,Left hand Bat,Right arm Offbreak,Not Specifed,Sunil Philip Narine,Sunil Philip,Not Available
64,359,Ankit Sharma,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Ankit Nagendra Sharma,Ankit Nagendra,Not Available
65,187,Z Khan,Right hand Bat,Left arm Fast medium,Not Specifed,Zaheer Khan,Zaheer Khan,Not Available
66,185,A Mishra,Right hand Bat,Legbreak,Not Specifed,Amit Mishra,Amit Mishra,Not Available
67,726,Ankit Soni,Right hand Bat,Legbreak,Not Specifed,Ankit Soni,Ankit Soni,Not Available
68,197,Tejas Baroka,Right hand Bat,Legbreak Googly,Not Specifed,Tejas Baroka,Tejas Baroka,Not Available
69,5,SR Watson,Right hand Bat,Right arm Fast medium,Not Specifed,Shane Robert Watson,Shane Robert,Not Available
70,460,Mohammed Shami,Right hand Bat,Right arm Fast,Not Specifed,Mohammed Shami Ahmed,Mohammed Shami,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Mohammad%20Shami.png
71,351,AJ Tye,Right hand Bat,Right arm Medium fast,Not Specifed,Andrew James Tye,Andrew James,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Andrew%20Tye.png
72,1393,DJ Bravo,Right hand Bat,Right arm Medium,Not Specifed,Dwayne John Bravo,Dwayne John,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Dwayne%20Bravo.png
73,177,AP Tare,Right hand Bat, ,Wicketkeeper,Aditya Prakash Tare,Aditya Prakash,Not Available
74,7539,B Indrajith,Right hand Bat,Legbreak Googly,Not Specifed,Baba Indrajith,Baba Indrajith,Not Available
75,4063,T Banton,Right hand Bat, ,Wicketkeeper,Tom Banton,Tom Banton,Not Available
76,6115,K Yadav,Left hand Bat,Left arm Fast medium,Not Specifed,Kuldip Yadav,Kuldip Yadav,Not Available
77,3649,AS Roy,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Anukul Sudhakar Roy,Anukul Sudhakar,Not Available
78,5407,M Shahrukh Khan,Right hand Bat,Right arm Offbreak,Not Specifed,Masood Shahrukh Khan,Masood Shahrukh,Not Available
79,4960,MR Marsh,Right hand Bat,Right arm Medium,Not Specifed,Mitchell Ross Marsh,Mitchell Ross,Not Available
80,6761,R Shepherd,Right hand Bat,Right arm Fast medium,Not Specifed,Romario Shepherd,Romario Shepherd,https://www.espncricinfo.com/cricketers/romario-shepherd-677077
81,8321,Rahmanullah Gurbaz,Right hand Bat, ,Wicketkeeper,Rahmanullah Gurbaz,Rahmanullah Gurbaz,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087
82,7751,SA Abbott,Right hand Bat,Right arm Fast medium,Not Specifed,Sean Anthony Abbott,Sean Anthony,Not Available
83,7302,OC McCoy,Left hand Bat,Left arm Fast medium,Not Specifed,Obed  Christopher McCoy,Obed  Christopher,Not Available
84,4970,P Dubey,Right hand Bat,Legbreak Googly,Not Specifed,Praveen Dubey,Praveen Dubey,Not Available
85,8355,Mukesh Kumar,Right hand Bat,Right arm Medium,Not Specifed,Mukesh Kumar,Mukesh Kumar,https://www.espncricinfo.com/cricketers/mukesh-kumar-926851
86,3451,DW Steyn,Right hand Bat,Right arm Fast,Not Specifed,Dale Willem Steyn,Dale Willem,Not Available
87,5411,RP Meredith,Right hand Bat,Right arm Fast,Not Specifed,Riley Patrick Meredith,Riley Patrick,Not Available
88,4098,JO Holder,Right hand Bat,Right arm Medium fast,Not Specifed,Jason Omar Holder,Jason Omar,Not Available
89,7895,R Sai Kishore,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Ravisrinivasan Sai Kishore,Ravisrinivasan Sai,Not Available
90,1805,RK Bhui,Right hand Bat,Legbreak Googly,Not Specifed,Ricky Kannakumar Bhui,Ricky Kannakumar,Not Available
91,6054,AK Markram,Right hand Bat,Right arm Offbreak,Not Specifed,Aiden Kyle Markram,Aiden Kyle,Not Available
92,6710,Akash Deep,Right hand Bat,Right arm Fast medium,Not Specifed,Akash Deep,Akash Deep,https://www.espncricinfo.com/cricketers/akash-deep-1176959
93,5976,KS Bharat,Right hand Bat, ,Wicketkeeper,Kona Srikar Bharat,Kona Srikar,Not Available
94,6681,Tilak Varma,Left hand Bat,Right arm Offbreak,Not Specifed,Namboori Thakur Tilak Varma,Namboori Thakur,Not Available
95,4119,RD Gaikwad,Right hand Bat,Right arm Offbreak,Not Specifed,Ruturaj Dashrat Gaikwad,Ruturaj Dashrat,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ruturaj%20Gaikwad.png
96,6739,A Manohar,Right hand Bat,Legbreak Googly,Not Specifed,Abhinav Manohar,Abhinav Manohar,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963
